Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,4,True,70377.30015361255,0.026052631578947372
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,5,True,66877.7388634958,0.0
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,6,True,66633.43611347987,0.007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,7,True,66633.43611347987,0.006315789473684212
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,8,True,66633.43611347987,0.010263157894736846
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,9,True,66633.43611347987,0.005526315789473686
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,10,True,67552.68156416502,0.017368421052631585
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,11,True,71855.92933813794,0.03000000000000001
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,12,True,66633.43611347987,0.013421052631578952
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,13,True,66633.43611347987,0.018421052631578953
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,14,True,67552.68156416502,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,15,True,66633.43611347987,0.001578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,16,True,66633.43611347987,0.03000000000000001
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,17,True,66633.43611347987,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,18,True,66633.43611347987,0.03052631578947369
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,19,True,66633.43611347987,0.015000000000000005
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,20,True,66836.85134468594,0.012631578947368424
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,21,True,66633.43611347987,0.01815789473684211
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,22,True,66633.43611347987,0.003947368421052633
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,23,True,67172.96048361057,0.03789473684210527
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,24,True,66633.43611347987,0.011052631578947371
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,25,True,66633.43611347987,0.018947368421052636
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,26,True,70669.11635193981,0.012105263157894739
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,27,True,70377.30015361255,0.01973684210526316
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,28,True,66633.43611347987,0.01342105263157895
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,29,True,66836.85134468594,0.014210526315789477
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,0,True,66633.43611347987,0.02052631578947369
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,1,True,66633.43611347987,0.019210526315789477
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,2,True,66633.43611347987,0.020263157894736844
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,3,True,66633.43611347987,0.0073684210526315805
