Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,3,False,74001.29743566614,0.021578947368421048
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,4,False,71140.09911865887,0.016842105263157894
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,5,False,74800.6421544186,0.032631578947368414
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,6,False,71928.948910518,0.01263157894736842
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,7,False,70377.30015361255,0.023684210526315787
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,8,False,73812.53415452402,0.00631578947368421
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,9,False,66633.43611347987,0.025
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,10,False,80725.92643303546,0.018421052631578946
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,11,False,72373.81596714327,0.028421052631578948
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,12,False,68450.93594817245,0.029473684210526315
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,13,False,70773.35166001208,0.018157894736842106
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,14,False,72601.64044197292,0.022105263157894735
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,15,False,71412.01937568367,0.005789473684210527
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,16,False,72373.81596714327,0.023157894736842106
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,17,False,80560.16835136566,0.013684210526315788
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,18,False,73839.36829957714,0.016842105263157894
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,19,False,74800.6421544186,0.029473684210526315
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,20,False,71655.54010838259,0.011052631578947368
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,21,False,71761.91869908017,0.016578947368421054
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,22,False,67829.11636775116,0.028684210526315788
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,23,False,67458.67092510725,0.042368421052631576
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,24,False,70936.68388745279,0.008421052631578947
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,25,False,71868.40539323569,0.005263157894736842
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,26,False,72494.67820667403,0.008947368421052631
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,27,False,71928.948910518,0.011578947368421053
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,28,False,68286.08774620655,0.011578947368421053
