Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,126950.36926686416,0.0968421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,120368.78784811385,0.14789473684210525
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,135753.51078733426,0.10763157894736843
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,122662.9976356813,0.08473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,129687.20352352205,0.10789473684210528
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,111961.12793177542,0.1386842105263158
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,124857.91391506471,0.105
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,122539.06742926265,0.09052631578947368
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,122279.64384323366,0.07736842105263157
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,128100.52020555025,0.1289473684210526
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,130677.46427364124,0.09157894736842107
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,129970.59445752877,0.1355263157894737
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,110191.24590052608,0.10631578947368421
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,134307.94551001428,0.0863157894736842
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,123950.53027959331,0.0863157894736842
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,120203.67525784331,0.16184210526315787
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,122205.56832279409,0.11578947368421053
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,125958.10211801423,0.1055263157894737
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,128286.18648728555,0.10131578947368419
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,129270.32043051498,0.11789473684210527
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,132981.36170937947,0.12605263157894736
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,122749.5162103568,0.11763157894736842
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,125732.29072999032,0.1318421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,135430.6002032499,0.09473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,125466.61766681244,0.0718421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.05,100,True,125773.32918193168,0.07052631578947369
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,116393.65505549255,0.04447368421052632
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,118739.31295372114,0.08368421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,120628.58060778557,0.11657894736842106
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,116299.12839337917,0.1413157894736842
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,117492.06668078205,0.11973684210526316
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,119780.82718721237,0.1405263157894737
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,121757.88485095475,0.08315789473684211
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,120835.90696249781,0.11473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,119039.76375294651,0.09473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,121787.32783915533,0.10236842105263158
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,118473.54565303402,0.10578947368421052
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,122982.28468609625,0.07394736842105264
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,123409.82518862905,0.10236842105263158
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,127519.63193418756,0.1318421052631579
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,128956.10039315037,0.10947368421052632
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,120432.4838118489,0.10210526315789473
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,124656.99526626425,0.12210526315789474
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,121147.39594183699,0.11657894736842105
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,125119.0017170831,0.11026315789473685
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,116850.66835009624,0.11236842105263158
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,123117.91887279041,0.08842105263157894
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,125861.13885790615,0.10789473684210528
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,122506.21709131377,0.09815789473684211
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,126061.80890190804,0.08868421052631578
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,124411.78158395567,0.13526315789473684
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,121313.09786444763,0.11894736842105262
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,117560.79225572852,0.1268421052631579
