Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,189661.81098863718,3,0.024473684210526314
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,190331.63074106997,4,0.015789473684210527
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,201767.81631517745,5,0.02
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,186780.55032853174,6,0.02631578947368421
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,197984.16295608997,7,0.017894736842105262
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,195967.36833172233,8,0.009473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,199368.05943281512,9,0.00631578947368421
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,204720.51857987378,10,0.00631578947368421
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,191346.82406802112,11,0.019473684210526313
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,192636.91679535413,12,0.017894736842105262
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,197255.69678515123,13,0.030526315789473683
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,194978.22850296085,14,0.015789473684210527
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,189703.65590493215,15,0.02
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,209091.93986515983,16,0.024210526315789474
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,200166.68286844724,17,0.02052631578947368
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,209063.3095899321,18,0.010526315789473684
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,200027.64846500556,19,0.010526315789473684
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,191693.19936881037,20,0.016315789473684207
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,192541.30433838832,21,0.01631578947368421
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,198709.45907951126,22,0.023684210526315787
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,202099.96102926935,23,0.015263157894736841
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,190448.61788187685,24,0.027368421052631577
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,196660.9169461287,25,0.031578947368421054
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,199573.75217348762,26,0.020789473684210528
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,189064.9698453566,27,0.007894736842105263
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,198043.8564743145,28,0.019473684210526313
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_pmx,mutacion_intercambio,0.05,100,False,199812.58990838597,29,0.032368421052631574
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,119569.44606629506,0,0.10684210526315789
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,117194.35168653395,1,0.1405263157894737
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,131033.76189282595,2,0.13763157894736844
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,116405.19967495836,3,0.09578947368421051
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,124626.92068655635,4,0.12631578947368421
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,120206.7433599289,5,0.09526315789473683
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,115539.82180212064,6,0.09921052631578947
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,126464.35530760161,7,0.115
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,130998.71838477462,8,0.11368421052631579
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,130114.03085281045,9,0.11763157894736842
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,123217.36462849441,10,0.12999999999999998
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,130465.29066253101,11,0.10631578947368421
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,127389.51911190707,12,0.09868421052631579
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,133003.73568533416,13,0.07921052631578947
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,122748.41430645132,14,0.08236842105263158
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,122356.38651652512,15,0.07763157894736841
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,123756.41270383875,16,0.12657894736842104
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,123738.44832262253,17,0.10105263157894737
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,134378.98660955543,18,0.11710526315789473
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,125592.07579352875,19,0.10631578947368421
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,131819.1212897424,20,0.11289473684210527
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,113153.06335730867,21,0.1105263157894737
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,120076.10997186849,22,0.11736842105263158
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,134935.76123219053,23,0.12789473684210528
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,121969.8752643648,24,0.08421052631578947
