% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=42, Thu Jun  4 16:29:16 2026, <python>{}</python>
1 8 0.12300817245295993 0 0 0.11911368105508535 0.1237185987431265 0.12471695446120921 0.11713287782789741 0.11496011965317893
2 16 0.10501937964842008 0 0 0.10447127999221234 0.10568220004259718 0.10444008864162443 0.10081041402021046 0.08887855557909262
3 24 0.09087099428211824 0 0 0.09173553703107319 0.08976212907036835 0.08929700695186683 0.08748526541881876 0.06756197288659563
4 32 0.08029236301340993 0 0 0.08049802221321538 0.07993540802871632 0.07912568658043166 0.07614738359244741 0.05537286361541118
5 40 0.06808273559680886 0 0 0.0675097074366093 0.062425919685671474 0.06336959143669171 0.0625419576112738 0.04531976277501651
6 48 0.06599728452337335 0 0 0.06678910756655795 0.05972212963442247 0.06117902411440606 0.05960625450468702 0.040705698648639564
7 56 0.06407273426667599 0 0 0.06506823643960911 0.05059964102883566 0.058888864674121494 0.061668719125745036 0.03891794158570869
8 64 0.05328606449322161 0 0 0.052473738999480886 0.04198894424572954 0.04527927267784381 0.05081165840950429 0.03011858559167692
9 72 0.04724477916002077 0 0 0.04563160583131719 0.03697364594197619 0.03852899290631066 0.043620170039904614 0.024960756823162383
10 80 0.04315443077115447 0 0 0.04134725483683413 0.033743640163055644 0.03374471562867142 0.038358050855423494 0.021534716918894612
11 88 0.04362480713133874 0 0 0.04132270694531839 0.035299051883663404 0.031101133128332886 0.042027905120844124 0.021290081898469895
12 96 0.03747694874870692 0 0 0.03377225738081963 0.030562755492184013 0.02543261187704541 0.035989180589173476 0.017181149239500964
13 104 0.03656615025792832 0 0 0.03148765893856282 0.02909759187440926 0.024873127437692426 0.03520784826355655 0.017037458045448848
14 112 0.034819482669874134 0 0 0.02979670675904392 0.027816910243126415 0.023099035905919087 0.032566679060024646 0.015356720860325388
15 120 0.03641825604995788 0 0 0.03380428688535467 0.028959254288000388 0.02430370829699963 0.033780684169306664 0.014258373387676231
16 128 0.033990239634571165 0 0 0.031815042267484564 0.02698604976899835 0.02262244599926232 0.029816126675851096 0.011801871193433656
17 136 0.031374866371176 0 0 0.029082849286566737 0.024554860062029615 0.02077581073084151 0.02877513823805038 0.010635520281585497
18 144 0.027939577171573395 0 0 0.02517864710076821 0.021397916846354663 0.016773672465867126 0.023878736858466594 0.00972454352528763
19 152 0.02333486034815803 0 0 0.021057651636607916 0.0175097832331645 0.013842377634731983 0.020428739385486745 0.007519645913239798
20 160 0.02067646361474521 0 0 0.017814018901904767 0.014143950430610503 0.01181301499489237 0.017562891658481083 0.0063535273018820206
21 168 0.017672413903651363 0 0 0.015326189040760349 0.012146363910209582 0.009562348937151485 0.014924099547157288 0.00520564083454041
22 176 0.016226539057212892 0 0 0.013923880891156674 0.011173829302040642 0.008047164855222434 0.013684548706026435 0.004505993163128052
23 184 0.014303653823801072 0 0 0.011836804260473023 0.009685763906689102 0.006947115842151398 0.011221579719185058 0.003904066333518173
24 192 0.013675669305168182 0 0 0.011108344553489538 0.009323102621985801 0.005912650434734428 0.011029481163077127 0.003845095157228282
25 200 0.011914215900049794 0 0 0.009714836390980948 0.0079232238668874 0.004834013186591391 0.009683415320474544 0.0034007598591167913
26 208 0.010677883345852658 0 0 0.00852908092209193 0.007446241264700988 0.004102529699029236 0.008183173537256542 0.0030088247706556116
27 216 0.00940128781801837 0 0 0.0075687499832143065 0.0065549288536718275 0.0034862339993548094 0.006919251145567368 0.002492128510459487
28 224 0.008895881732659285 0 0 0.006750460878018868 0.006157564095427294 0.0031461179690825667 0.007061323279972545 0.0024331223882683565
29 232 0.009274391525021344 0 0 0.0072718129637408275 0.006853275627270228 0.003053479839448714 0.007267422542251409 0.0025565098050167817
29 232 0.009274391525021344 0 0 0.0072718129637408275 0.006853275627270228 0.003053479839448714 0.007267422542251409 0.0025565098050167817
