Dimensiones,Representacion,Fitness_Evolutivo,F1_Test,Nodos_Finales,Conexiones_Finales,pop_size,node_add_prob,conn_add_prob,conn_delete_prob,compatibility_threshold,weight_mutate_rate,survival_threshold,num_inputs
0.3,WE,0.556426195959673,0.3921224648763128,3,161,400,0.1,0.05,0.05,2.5,0.5,0.5,270
0.3,WE,0.5611940972833421,0.366356649417295,5,166,400,0.1,0.05,0.1,2.5,0.5,0.5,270
0.3,WE,0.5651508427932577,0.41519940988443577,4,159,400,0.1,0.05,0.2,2.5,0.5,0.5,270
0.3,WE,0.583833301848865,0.4167476685611618,3,162,400,0.1,0.1,0.05,2.5,0.5,0.5,270
0.3,WE,0.5669030142885104,0.45558504187850496,4,165,400,0.1,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.5500510697032436,0.3661593399989258,3,158,400,0.1,0.1,0.2,2.5,0.5,0.5,270
0.3,WE,0.5683158860363584,0.36940439854959733,3,163,400,0.1,0.2,0.05,2.5,0.5,0.5,270
0.3,WE,0.5681279089553575,0.39119756719569687,3,164,400,0.1,0.2,0.1,2.5,0.5,0.5,270
0.3,WE,0.5721662402971963,0.39187865024084717,4,160,400,0.1,0.2,0.2,2.5,0.5,0.5,270
0.3,WE,0.5628307073444059,0.42024058954139926,4,163,400,0.2,0.05,0.05,2.5,0.5,0.5,270
0.3,WE,0.5444697294577635,0.42080937167199145,4,161,400,0.2,0.05,0.1,2.5,0.5,0.5,270
0.3,WE,0.5419467787114847,0.4085543040522908,3,162,400,0.2,0.05,0.2,2.5,0.5,0.5,270
0.3,WE,0.5687593483894854,0.39364229017308855,3,162,400,0.2,0.1,0.05,2.5,0.5,0.5,270
0.3,WE,0.5778032871083719,0.3950893462160665,4,162,400,0.2,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.5519957441913963,0.39417651294574374,6,167,400,0.2,0.1,0.2,2.5,0.5,0.5,270
0.3,WE,0.5466111111111112,0.408746741264481,4,164,400,0.2,0.2,0.05,2.5,0.5,0.5,270
0.3,WE,0.5301264426568151,0.44389539643055637,5,169,400,0.2,0.2,0.1,2.5,0.5,0.5,270
0.3,WE,0.5442427757427758,0.3328550932568149,5,163,400,0.2,0.2,0.2,2.5,0.5,0.5,270
0.3,WE,0.5666656458081555,0.40929888889388777,5,165,400,0.3,0.05,0.05,2.5,0.5,0.5,270
0.3,WE,0.5960843621399177,0.4492623836588079,7,171,400,0.3,0.05,0.1,2.5,0.5,0.5,270
0.3,WE,0.5734496274130141,0.43638005080950615,10,172,400,0.3,0.05,0.2,2.5,0.5,0.5,270
0.3,WE,0.5342679738562092,0.40229380499142103,6,168,400,0.3,0.1,0.05,2.5,0.5,0.5,270
0.3,WE,0.5387313073557713,0.3987043758210181,4,164,400,0.3,0.1,0.1,2.5,0.5,0.5,270
0.3,WE,0.526265531558087,0.39864676623337075,8,171,400,0.3,0.1,0.2,2.5,0.5,0.5,270
0.3,WE,0.5677399908868956,0.42865324102047575,5,168,400,0.3,0.2,0.05,2.5,0.5,0.5,270
0.3,WE,0.5407979290703322,0.4000274953929451,5,165,400,0.3,0.2,0.1,2.5,0.5,0.5,270
0.3,WE,0.5664241221741222,0.4141565344298829,7,174,400,0.3,0.2,0.2,2.5,0.5,0.5,270
