Configuracion,Cruza,Mutacion,Penalizacion,Elitismo,Ejecucion_No,Mejor_Fitness,Diversidad_Final,Peso_Final,Valor_Final
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,34,321.0,0.00492333333333333,50,321
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,35,316.0,0.002969999999999998,50,316
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,36,343.0,0.004269999999999996,50,343
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,37,312.0,0.004606666666666662,49,312
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,38,331.0,0.003946666666666663,49,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,39,315.0,0.002633333333333331,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,40,325.0,0.0026266666666666643,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,41,300.0,0.0032799999999999978,50,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,42,332.0,0.0036166666666666626,50,332
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,43,311.0,0.00525333333333333,50,311
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,44,318.0,0.0049233333333333264,49,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,45,322.0,0.003939999999999997,50,322
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,46,327.0,0.006210000000000002,50,327
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,47,308.0,0.0032866666666666643,50,308
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,48,316.0,0.0032933333333333313,50,316
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,49,315.0,0.003939999999999996,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,50,315.0,0.013306666666666658,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,51,305.0,0.008676666666666666,50,305
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,52,310.0,0.002633333333333331,49,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,53,307.0,0.00426333333333333,50,307
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,54,313.0,0.00491666666666666,50,313
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,55,301.0,0.0016499999999999987,50,301
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,56,287.0,0.0019799999999999987,50,287
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,57,319.0,0.0013199999999999991,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,58,317.0,0.0039466666666666626,50,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,59,295.0,0.005543333333333332,50,295
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,60,337.0,0.007990000000000002,50,337
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,61,323.0,0.02943000000000003,50,323
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,62,315.0,0.003933333333333332,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,63,320.0,0.0039466666666666626,50,320
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,64,323.0,0.0032933333333333313,50,323
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,65,333.0,0.011466666666666677,50,333
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,66,307.0,0.011329999999999988,50,307
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,67,323.0,0.0023099999999999987,50,323
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,68,297.0,0.009499999999999975,50,297
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,69,296.0,0.002956666666666664,50,296
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,70,325.0,0.0035833333333333273,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,71,312.0,0.00428333333333333,50,312
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,72,305.0,0.004289999999999997,50,305
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,73,306.0,0.009386666666666677,50,306
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,74,328.0,0.0032999999999999982,50,328
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,75,297.0,0.00329333333333333,50,297
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,76,306.0,0.004269999999999996,50,306
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,77,341.0,0.003926666666666665,50,341
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,78,317.0,0.002309999999999999,50,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,79,337.0,0.002963333333333331,50,337
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,80,311.0,0.0035966666666666616,50,311
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,81,300.0,0.004263333333333331,50,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,82,319.0,0.004276666666666663,49,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,83,286.0,0.004269999999999995,50,286
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,84,300.0,0.0036233333333333313,50,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,85,317.0,0.0036099999999999965,50,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,86,331.0,0.0036233333333333313,50,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,87,315.0,0.003939999999999996,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,88,334.0,0.006836666666666652,50,334
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,89,283.0,0.002963333333333331,50,283
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,90,345.0,0.004276666666666665,50,345
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,91,313.0,0.00395333333333333,50,313
